Title of resource,Map type,Coordinate system,Date of ground survey used to compile map,Resource created at,Description,Ellipsoid,Copywright,Publisher,Location of hard copy,Start Date,Map scale,MAEASaM ID,Datum,URL,Sheet history,Resource Type,Author,Map title, Location,Subject,Book or journal information,Year of publication,Projection,Book or journal edition,Format,Language,Recorder,Page numbers,Cartographer,Map creation date,Location of digital copy consulted,Volume,Collection publisher,Name of collection ,End Date,Contributors,ISBN/ISSN,Comment,Source,Project name,Map series code,DOI,Resource last modified at,Map publisher,Developed or maintained by,resourceid
Settlement History of the Islands on the Pangani River Northeastern Tanzania,,,,2024-05-22,None,,,None,,None,,INFO-00000065,,https://www.tandfonline.com/doi/full/10.1080/0067270X.2018.1436739,,Journal article,Biginagwa Thomas J. ; Ichumbaki Elgidius B.,,,None,Azania: Archaeological Research in Africa,2018-01-02,,1,None,English,,63-82,,,,53,None,None,None,None,None,,None,None,,10. 1080/0067270x. 2018. 1436739,2024-05-22,,None,e525aa72-2f90-40a7-ac59-f5d357d2421a
Seronera: Excavations at a Stone Bowl Site in the Serengeti National Park Tanzania,,,,2024-05-22,None,,,None,,None,,INFO-00000066,,http://www.tandfonline.com/doi/abs/10.1080/00672707309511573,,Journal article,Bower John R. F.,,,None,Azania: Archaeological Research in Africa,1973-01-01,,1,None,English,,71-104,,,,8,None,None,None,None,None,,None,None,,10. 1080/00672707309511573,2024-05-22,,None,dfee9195-a434-4e3c-a724-f786efc4bf90
Rock Gongs and a Rock Chute in Mwanza Region Tanzania,,,,2024-05-22,None,,,None,,None,,INFO-00000067,,http://www.tandfonline.com/doi/abs/10.1080/00672706809511492,,Journal article,Soper Robert,,,None,Azania: Archaeological Research in Africa,1968-01-01,,1,None,English,,175-179,,,,3,None,None,None,None,None,,None,None,,10. 1080/00672706809511492,2024-05-22,,None,25609f02-a0ca-4f9d-9499-2ef4f9f238a3
Reinvestigation of Kuumbi Cave Zanzibar Reveals Later Stone Age Coastal Habitation Early Holocene Abandonment and Iron Age Reoccupation,,,,2024-05-22,None,,,None,,None,,INFO-00000068,,http://www.tandfonline.com/doi/full/10.1080/0067270X.2016.1173308,,Journal article,Shipton Ceri ; Crowther Alison ; Kourampas Nikos ; Prendergast Mary E. ; Horton Mark ; Douka Katerina ; Schwenninger Jean-luc ; Faulkner Patrick ; Quintana Morales Eréndira M. ; Langley Michelle C. ; Tibesasa Ruth ; Picornell-gelabert Llorenc ; Wilmsen Edwin N. ; Doherty Chris ; Veall Margaret-ashley ; Ali Abdallah K. ; Petraglia Michael D. ; Boivin Nicole,,,None,Azania: Archaeological Research in Africa,2016-04-02,,2,None,English,,197-233,,,,51,None,None,None,None,None,,None,None,,10. 1080/0067270x. 2016. 1173308,2024-05-22,,None,88ab730a-1494-4c59-8636-251e28e8768d
Refining the Chronology of Kua Ruins: Radiocarbon Dates from the Mafia Archipelago Tanzania,,,,2024-05-22,None,,,None,,None,,INFO-00000069,,http://www.tandfonline.com/doi/abs/10.1080/0067270X.2013.842666,,Journal article,Christie Annalisa C.,,,None,Azania: Archaeological Research in Africa,2013-12-01,,4,None,English,,521-533,,,,48,None,None,None,None,None,,None,None,,10. 1080/0067270x. 2013. 842666,2024-05-22,,None,d214b089-195c-4988-83a3-6b89e9c6d147
Protective Memoryscapes of the Chagga of Kilimanjaro Northern Tanzania,,,,2024-05-22,None,,,None,,None,,INFO-00000070,,http://www.tandfonline.com/doi/abs/10.1080/00672700509480415,,Journal article,R. Clack Timothy a.,,,None,Azania: Archaeological Research in Africa,2005-01-01,,1,None,English,,101-107,,,,40,None,None,None,None,None,,None,None,,10. 1080/00672700509480415,2024-05-22,,None,82c7ac79-3f60-425c-ad9d-e24df09bd853
Pottery Production Iron Working and Trade in the Early Iron Age: the Case of Dakawa East-central Tanzania,,,,2024-05-22,None,,,None,,None,,INFO-00000071,,http://www.tandfonline.com/doi/abs/10.1080/00672700009511597,,Journal article,Håland Randi ; Msuya Chediel s.,,,None,Azania: Archaeological Research in Africa,2000-01-01,,1,None,English,,75-106,,,,35,None,None,None,None,None,,None,None,,10. 1080/00672700009511597,2024-05-22,,None,ead204cc-3682-4063-839f-97a124f9080e
Poison Arrows and Bone Utensils in Late Pleistocene Eastern Africa: Evidence from Kuumbi Cave Zanzibar,,,,2024-05-22,None,,,None,,None,,INFO-00000072,,http://www.tandfonline.com/doi/full/10.1080/0067270X.2016.1173302,,Journal article,Langley Michelle C. ; Prendergast Mary E. ; Shipton Ceri ; Quintana Morales Eréndira M. ; Crowther Alison ; Boivin Nicole,,,None,Azania: Archaeological Research in Africa,2016-04-02,,2,None,English,,155-177,,,,51,None,None,None,None,None,,None,None,,10. 1080/0067270x. 2016. 1173302,2024-05-22,,None,4e4cd027-329b-4ba5-ab56-4cc711c070e2
Petrographic Investigation of the Provenance of Pottery from Engaruka,,,,2024-05-22,None,,,None,,None,,INFO-00000073,,http://www.tandfonline.com/doi/abs/10.1080/00672700609480437,,Journal article,Oteyo Gilbert ; Doherty Chris,,,None,Azania: Archaeological Research in Africa,2006-01-01,,1,None,English,,103-121,,,,41,None,None,None,None,None,,None,None,,10. 1080/00672700609480437,2024-05-22,,None,cc3d9b0d-50c3-4115-a114-f536ea090ac4
Pastoral Neolithic Sites on the Southern Mbulu Plateau Tanzania,,,,2024-05-22,None,,,None,,None,,INFO-00000074,,http://www.tandfonline.com/doi/abs/10.1080/0067270X.2013.841927,,Journal article,Prendergast M. e. ; Mabulla A. z. p. ; Grillo K. m. ; Broderick L. g. ; Seitsonen O. ; Gidna A. o. ; Gifford-gonzalez d.,,,None,Azania: Archaeological Research in Africa,2013-12-01,,4,None,English,,498-520,,,,48,None,None,None,None,None,,None,None,,10. 1080/0067270x. 2013. 841927,2024-05-22,,None,e5da055d-9850-4196-8c56-b4f7d34eeac4
Pastoral Neolithic Settlement and Subsistence Patterns in the Mangola Graben Tanzania,,,,2024-05-22,None,,,None,,None,,INFO-00000075,,http://www.tandfonline.com/doi/abs/10.1080/00672700009511603,,Journal article,Rubaka Charles C.,,,None,Azania: Archaeological Research in Africa,2000-01-01,,1,None,English,,198-203,,,,35,None,None,None,None,None,,None,None,,10. 1080/00672700009511603,2024-05-22,,None,c3fda5ad-c691-4310-bb8f-c7bec35e2f82
Notes on Rock Art and Cord-rouletted Pottery at the Seronera Stone Bowl Site Serengeti National Park Tanzania,,,,2024-05-22,None,,,None,,None,,INFO-00000076,,http://www.tandfonline.com/doi/abs/10.1080/00672707609511239,,Journal article,Bower John R. F.,,,None,Azania: Archaeological Research in Africa,1976-01-01,,1,None,English,,176-179,,,,11,None,None,None,None,None,,None,None,,10. 1080/00672707609511239,2024-05-22,,None,77eb757a-ec15-44ec-8f1f-294cda4ff90f
No such Thing as Invisible People: Toward an Archaeology of Slavery at the Fifteenth-century Swahili Site of Songo Mnara,,,,2024-05-22,None,,,None,,None,,INFO-00000077,,https://www.tandfonline.com/doi/full/10.1080/0067270X.2020.1841978,,Journal article,Rødland Henriette ; Wynne-jones Stephanie ; Wood Marilee ; Fleisher Jeffrey,,,None,Azania: Archaeological Research in Africa,2020-10-01,,4,None,English,,439-457,,,,55,None,None,None,None,None,,None,None,,10. 1080/0067270x. 2020. 1841978,2024-05-22,,None,73244f8a-aa1e-4abe-81eb-ec1a4900cb3a
Ngandu and Ngambezi: Sites on the Nineteenth-century Trade Route Around Lake Victoria and Spelees Expedition of 1861–63,,,,2024-05-22,None,,,None,,None,,INFO-00000078,,http://www.tandfonline.com/doi/abs/10.1080/00672709709511590,,Journal article,Insoll Timothy,,,None,Azania: Archaeological Research in Africa,1997-01-01,,1,None,English,,109-112,,,,32,None,None,None,None,None,,None,None,,10. 1080/00672709709511590,2024-05-22,,None,111e6ef1-6361-47ed-8f52-9e38197b26e0
Modelling the Swahili Past: the Archaeology of Mikindani in Southern Coastal Tanzania,,,,2024-05-22,None,,,None,,None,,INFO-00000079,,http://www.tandfonline.com/doi/abs/10.1080/0067270X.2012.723510,,Journal article,Pawlowicz Matthew,,,None,Azania: Archaeological Research in Africa,2012-12-01,,4,None,English,,488-508,,,,47,None,None,None,None,None,,None,None,,10. 1080/0067270x. 2012. 723510,2024-05-22,,None,031940a8-289a-459b-a5fa-7b57d65b2357
Limbo: Early Iron-working in South-eastern Tanzania,,,,2024-05-22,None,,,None,,None,,INFO-00000080,,http://www.tandfonline.com/doi/abs/10.1080/00672709209511430,,Journal article,Chami F. a.,,,None,Azania: Archaeological Research in Africa,1992-01-01,,1,None,English,,45-52,,,,27,None,None,None,None,None,,None,None,,10. 1080/00672709209511430,2024-05-22,,None,3ee1aeec-d537-4290-a557-2036194a7bb6
Le Commerce Des Esclaves Sur La Cote Swahili 1500-1750,,,,2024-05-22,None,,,None,,None,,INFO-00000081,,http://www.tandfonline.com/doi/abs/10.1080/00672700309480358,,Journal article,Vernet Thomas,,,None,Azania: Archaeological Research in Africa,2003-01-01,,1,None,English,,69-97,,,,38,None,None,None,None,None,,None,None,,10. 1080/00672700309480358,2024-05-22,,None,132550df-59a5-4bc4-a312-3be995b0166c
Lîle De Sanjé Ya Kati (Kilwa Tanzanie): Un Mythe Shirâzi Bien Réel,,,,2024-05-22,None,,,None,,None,,INFO-00000082,,http://www.tandfonline.com/doi/abs/10.1080/00671990902795814,,Journal article,Pradines Stéphane,,,None,Azania: Archaeological Research in Africa,2009-04-01,,1,None,English,,49-73,,,,44,None,None,None,None,None,,None,None,,10. 1080/00671990902795814,2024-05-22,,None,e1d87b34-e480-40a2-8f9d-a055af660a0c
Kwale: an Early Iron Age Site in South-eastern Kenya,,,,2024-05-22,None,,,None,,None,,INFO-00000083,,http://www.tandfonline.com/doi/abs/10.1080/00672706709511437,,Journal article,Soper Robert,,,None,Azania: Archaeological Research in Africa,1967-01-01,,1,None,English,,1-17,,,,2,None,None,None,None,None,,None,None,,10. 1080/00672706709511437,2024-05-22,,None,c15b50b3-76ed-40a5-b8aa-d7ec53c0be10
Kilwa: a Preliminary Report,,,,2024-05-22,None,,,None,,None,,INFO-00000084,,http://www.tandfonline.com/doi/abs/10.1080/00672706609511339,,Journal article,Chittick Neville,,,None,Azania: Archaeological Research in Africa,1966-01-01,,1,None,English,,1-36,,,,1,None,None,None,None,None,,None,None,,10. 1080/00672706609511339,2024-05-22,,None,455eab86-7e0f-4355-bcc2-3b1f93c61eb4
Kantsyore Island,,,,2024-05-22,None,,,None,,None,,INFO-00000085,,http://www.tandfonline.com/doi/abs/10.1080/00672706709511446,,Journal article,Chapman Susannah,,,None,Azania: Archaeological Research in Africa,1967-01-01,,1,None,English,,165-191,,,,2,None,None,None,None,None,,None,None,,10. 1080/00672706709511446,2024-05-22,,None,3c526804-2e19-48a0-a733-337c6e9c21a4
Irrigation Agriculture in the Northern Tanzanian Rift Valley before the Maasai Era,,,,2024-05-22,None,,,None,,None,,INFO-00000086,,http://www.tandfonline.com/doi/abs/10.1080/00672709809511463,,Journal article,None,,,None,Azania: Archaeological Research in Africa,1998-01-01,,1,None,English,,1-37,,,,33,None,None,None,None,None,,None,None,,10. 1080/00672709809511463,2024-05-22,,None,e964a2ca-2a80-4c11-b01e-aca22bf4ba1b
Iron Age Settlement Around Mkiu South-eastern Tanzania,,,,2024-05-22,None,,,None,,None,,INFO-00000087,,http://www.tandfonline.com/doi/abs/10.1080/00672709009511405,,Journal article,Fawcett William B. ; Violette Adria La,,,None,Azania: Archaeological Research in Africa,1990-01-01,,1,None,English,,19-26,,,,25,None,None,None,None,None,,None,None,,10. 1080/00672709009511405,2024-05-22,,None,51f19595-23d6-4bb8-a8c7-46117680f7b8
Iron Age Agriculture Fishing and Trade in the Mafia Archipelago Tanzania: New Evidence from Ukunju Cave,,,,2024-05-22,None,,,None,,None,,INFO-00000088,,http://www.tandfonline.com/doi/abs/10.1080/0067270X.2013.878104,,Journal article,Crowther Alison ; Horton Mark ; Kotarba-morley Anna ; Prendergast Mary ; Quintana Morales Eréndira ; Wood Marilee ; Shipton Ceri ; Fuller Dorian Q ; Tibesasa Ruth ; Mills William ; Boivin Nicole,,,None,Azania: Archaeological Research in Africa,2014-01-02,,1,None,English,,21-44,,,,49,None,None,None,None,None,,None,None,,10. 1080/0067270x. 2013. 878104,2024-05-22,,None,8aa38689-cb10-4b0c-b1aa-04f6741ab1c4
Ilula: Excavations of Late Iron Age Brick Sites in the Southern Highlands of Tanzania,,,,2024-05-22,None,,,None,,None,,INFO-00000089,,http://www.tandfonline.com/doi/abs/10.1080/00672707309511577,,Journal article,Sutton J. E. G.,,,None,Azania: Archaeological Research in Africa,1973-01-01,,1,None,English,,141-150,,,,8,None,None,None,None,None,,None,None,,10. 1080/00672707309511577,2024-05-22,,None,df424d3d-12fd-4a9c-954d-2762b0137740
History Imagination and Remapping Space in a Small Urban Centre: Makambako Iringa Region Tanzania,,,,2024-05-22,None,,,None,,None,,INFO-00000090,,http://www.tandfonline.com/doi/abs/10.1080/00672700109511707,,Journal article,Giblin James L.,,,None,Azania: Archaeological Research in Africa,2001-01-01,,1,None,English,,187-203,,,,36-37,None,None,None,None,None,,None,None,,10. 1080/00672700109511707,2024-05-22,,None,fa18a3a3-b341-4bc2-84b9-e9a740dd5584
Habitation Sites on the Liganga-maganga Ridge Southern Highlands of Tanzania,,,,2024-05-22,None,,,None,,None,,INFO-00000091,,http://www.tandfonline.com/doi/abs/10.1080/00672706709511449,,Journal article,Sutton J. E. G.,,,None,Azania: Archaeological Research in Africa,1967-01-01,,1,None,English,,199-200,,,,2,None,None,None,None,None,,None,None,,10. 1080/00672706709511449,2024-11-25,,None,f9682e47-542a-4958-8a0a-96e606239441
Further Excavations of Pastoral Neolithic Sites in Serengeti,,,,2024-05-22,None,,,None,,None,,INFO-00000092,,http://www.tandfonline.com/doi/abs/10.1080/00672708609511374,,Journal article,Bower John ; Chadderdon Thomas J.,,,None,Azania: Archaeological Research in Africa,1986-01-01,,1,None,English,,129-133,,,,21,None,None,None,None,None,,None,None,,10. 1080/00672708609511374,2024-05-22,,None,6732c3af-3e18-42ef-b3a9-7271885b142d
Further Archaeological Research on Mafia Island,,,,2024-05-22,None,,,None,,None,,INFO-00000093,,http://www.tandfonline.com/doi/abs/10.1080/00672700009511605,,Journal article,Chami Felix a.,,,None,Azania: Archaeological Research in Africa,2000-01-01,,1,None,English,,208-214,,,,35,None,None,None,None,None,,None,None,,10. 1080/00672700009511605,2024-05-22,,None,c139d4e8-d8d7-4f55-891f-5ea3184d95ec
Faunal Analysis from Kibaoni a Late Precolonial Pimbwe Village in Rukwa Valley Tanzania: First Reconstructions of Cultural and Environmental Histories,,,,2024-05-22,None,,,None,,None,,INFO-00000094,,http://www.tandfonline.com/doi/abs/10.1080/00671990903047637,,Journal article,Foutch Amy E. ; Steele Teresa E. ; o Brien Christopher J.,,,None,Azania: Archaeological Research in Africa,2009-08-01,,2,None,English,,257-267,,,,44,None,None,None,None,None,,None,None,,10. 1080/00671990903047637,2024-05-22,,None,ed23350b-db93-4348-92c1-b5373af3c5eb
Forgotten Caravan Towns in 19th Century Tanzania: Mbwamaji and Mpwapwa,,,,2024-05-22,None,,,None,,None,,INFO-00000095,,http://www.tandfonline.com/doi/abs/10.1080/00672700609480432,,Journal article,Rockel Stephen J.,,,None,Azania: Archaeological Research in Africa,2006-01-01,,1,None,English,,1-25,,,,41,None,None,None,None,None,,None,None,,10. 1080/00672700609480432,2024-05-22,,None,2be773cb-6d91-4f88-935b-c997b36d2521
Excavations at Nasera Rock Tanzania,,,,2024-05-22,None,,,None,,None,,INFO-00000096,,http://www.tandfonline.com/doi/abs/10.1080/00672707709511250,,Journal article,Mehlman M. J.,,,None,Azania: Archaeological Research in Africa,1977-01-01,,1,None,English,,111-118,,,,12,None,None,None,None,None,,None,None,,10. 1080/00672707709511250,2024-05-22,,None,ca99707f-d851-4966-acfe-7ca45b50ed79
Excavations at Narosura a Stone Bowl Site in the Southern Kenya Highlands,,,,2024-05-22,None,,,None,,None,,INFO-00000097,,http://www.tandfonline.com/doi/abs/10.1080/00672707209511557,,Journal article,Odner Knut,,,None,Azania: Archaeological Research in Africa,1972-01-01,,1,None,English,,25-92,,,,7,None,None,None,None,None,,None,None,,10. 1080/00672707209511557,2024-05-22,,None,2743a10d-d97f-4dbe-ac90-ada9b44b7345
Engaruka: Excavations during 1964,,,,2024-05-22,None,,,None,,None,,INFO-00000098,,http://www.tandfonline.com/doi/abs/10.1080/00672706609511342,,Journal article,Sassoon Hamo,,,None,Azania: Archaeological Research in Africa,1966-01-01,,1,None,English,,79-99,,,,1,None,None,None,None,None,,None,None,,10. 1080/00672706609511342,2024-05-22,,None,757ae952-61ce-4d3e-93e7-6072d23e5ab8
Engaruka and its Waters,,,,2024-05-22,None,,,None,,None,,INFO-00000099,,http://www.tandfonline.com/doi/abs/10.1080/00672707809511631,,Journal article,Sutton J. E. G.,,,None,Azania: Archaeological Research in Africa,1978-01-01,,1,None,English,,37-70,,,,13,None,None,None,None,None,,None,None,,10. 1080/00672707809511631,2024-05-22,,None,98d39610-5efa-4253-bc69-259dc4beafdc
Engaruka: Additional Observations on Fields Furrows and Enclosures,,,,2024-05-22,None,,,None,,None,,INFO-00000100,,http://www.tandfonline.com/doi/abs/10.1080/00672709909511475,,Journal article,Sutton J. E. g.,,,None,Azania: Archaeological Research in Africa,1999-01-01,,1,None,English,,114-115,,,,34,None,None,None,None,None,,None,None,,10. 1080/00672709909511475,2024-05-22,,None,f233e2b2-c201-428f-b8dc-be560eb08e64
Elusive Wattle-and-daub: Finding the Hidden Majority in the Archaeology of the Swahili,,,,2024-05-22,None,,,None,,None,,INFO-00000101,,http://www.tandfonline.com/doi/abs/10.1080/00672709909511473,,Journal article,Fleisher Jeff ; La Violette Adria,,,None,Azania: Archaeological Research in Africa,1999-01-01,,1,None,English,,87-108,,,,34,None,None,None,None,None,,None,None,,10. 1080/00672709909511473,2024-05-22,,None,731663fe-7a53-4ee2-82ef-e685ba2f3ad8
Early Iron Age Pottery Types from East Africa: Comparative Analysis,,,,2024-05-22,None,,,None,,None,,INFO-00000102,,http://www.tandfonline.com/doi/abs/10.1080/00672707109511546,,Journal article,Soper Robert,,,None,Azania: Archaeological Research in Africa,1971-01-01,,1,None,English,,39-52,,,,6,None,None,None,None,None,,None,None,,10. 1080/00672707109511546,2024-05-22,,None,25b4be21-3e37-4caf-883b-287772c93c51
Early Iron Age Pottery in Eastern and Southern Africa,,,,2024-05-22,None,,,None,,None,,INFO-00000103,,http://www.tandfonline.com/doi/abs/10.1080/00672706609511343,,Journal article,Fagan Brian m.,,,None,Azania: Archaeological Research in Africa,1966-01-01,,1,None,English,,101-109,,,,1,None,None,None,None,None,,None,None,,10. 1080/00672706609511343,2024-05-22,,None,bae566bc-51f3-4db2-b2de-b49baaa49cc7
Early Iron Age and Kansyore Pottery: Finds from Gogo Falls South Nyanza,,,,2024-05-22,None,,,None,,None,,INFO-00000104,,http://www.tandfonline.com/doi/abs/10.1080/00672708009511280,,Journal article,Collett D. P. ; Robertshaw P. t.,,,None,Azania: Archaeological Research in Africa,1980-01-01,,1,None,English,,133-145,,,,15,None,None,None,None,None,,None,None,,10. 1080/00672708009511280,2024-05-22,,None,3bd75916-3613-4745-a2f4-134bea64d27b
Men and Monuments on the East African Coast,,,,2024-05-27,,,,Lutterworth Press,,,,INFO-00000105,,None,,Book,Kirkman J. s.,,,,None,1964-01-01,,None,,,,None,,,,None,,,,,None,,,,,None,2024-05-27,,,08b194bd-54a6-418d-84d0-2aef716ed1d7
The Rise and Fall of Swahili States,,,,2024-05-23,None,,,Altamira,,None,,INFO-00000106,,None,,Book,Kusimba Chapurukha,,,None,None,1998-01-01,,None,None,English,,None,,,,None,None,None,None,None,978-0-7619-9051-2,,None,None,,None,2024-05-24,,None,6e008eb6-d655-4865-a992-48acca12af96
Islamization and Urbanization on the Coast of East Africa: Recent Excavations at Gedi Kenya,,,,2024-05-23,,,,None,,,,INFO-00000107,,https://www.researchgate.net/publication/233295071_Islamization_and_Urbanization_on_the_Coast_of_East_Africa_recent_excavations_at_Gedi_Kenya,,Journal article,Pradines s,,,,Azania Archaeological Research in Africa,2003-01-01,,1,,,,180-182,,,,38,,,,,None,,,,,10. 1080/00672700309480369,2024-05-23,,,671f9b26-ce73-4358-992f-cb718ab98093
Monumental Architecture and Archaeology North of the Tana River,,,,2024-05-23,,,,National Museums of Kenya,,,,INFO-00000108,,None,,Book,Wilson Thomas H,,,,None,1980-01-01,,None,,,,None,,,,None,,,,,None,,,,,None,2024-05-23,,,b2ab8c67-3fd0-4f57-a11b-3e68b5704604
