Chronology type,Description,Chronology name value,Digital provenance,Descriptive start date,Relationship type,Descriptive end date type,Editorial note,Name type,Resource modified at,Descriptive end date,Start date,MAEASaM ID,Region,Connected to,Geometry,Source,Descriptive start date type,Resource creation at,End date,resourceid
Geological epoch,"The second epoch of the Quaternary and the most recent geologic interval of time. The name which means ‘entirely recent' extends from about 11 700 BCE to the present. It coincides with the late and post-Stone Age history of the human species . It is also associated with the current interglacial (~11 700 BP - present day). Holocene stratigraphic records provide evidence, inter alia, of climate and sea-level change, geomorphological and hydrological processes, vegetational developments, and faunal migrations. In addition, they contain a unique range and wealth of archaeological data that attest to the development of society and the evolving relationships between people and the environment under near modern boundary conditions.",Holocene,,"11,700",has broader term (has narrower term),,,Primary name,,present,y-11700,CHRN-00000091,"Africa, Primary name",Quaternary,, Kunta Kinteh Island and Related Sites,BP,,..,10b07b36-9e3f-4c38-843c-1f7111abff84
Bead tradition,"Indo-Pacific Beads are rarely more than 5mm in diameter and made in a limited range of colours including: opague reddish brown, orange, yellow, green, and black as well as semi-translucent greens and blues, and translucent amber and violet. The glass often contains many bubbles and can vary in quality. The beads were so widely distributed both spatially and temporally. They were traded to West Africa with the Kingdom of Ghana by the 7th to 8th centuries Ad including at such sites as Tegdaoust in modern Mauritania, Jenne-jenno in the Interior Niger Delta of Mali, Beads may have arrived through internal African routes from East Africa. In Eastern Africa and Southern Africa, Indo-Pacific glass beads are found at numerous sites dating from the early 7th to 8th centuries (AD) onwards. For example, they have been recovered at sites such as Nzwanzi in the Comoros (11th - 15th centuries AD), post-Zhizo assemblages in southern Africa, and multiple sites along the coast of East Africa (and particularly from Swahili Stonetowns). It is having also been suggested that some East Coast Indo-Pacific beads could have been manufactured between the 13th and 14th century at Mkokotoni, on Zanzibar Island.'",Indo-Pacific glass beads,,601,has broader term (has narrower term),CE,,Primary name,,1500,601,CHRN-00000120,"Africa, Primary name",Asian maritime trade,, Historical Perspectives on Pastoralism and Land Tenure Transformation in Ngamiland Botswana: what are the Policy and Institutional Lessons,CE,,1500,922a154b-3659-4856-a46e-74839c639847
Bead tradition,"The Middle East and in particular Egypt and the Levant played an important part in the history of glass where it it is generally acknowledged to have been invented in Mesopotamia in the middle of the third millennium BC. Middle East glass beads are commonly referred to as Phoenician beads and are spread around the Mediterranean littoral. Innovative glass beadmaking techniques where initiated in the Helenistic times and persisted trhought the Roman Empire, into the Byzantine-Coptic periods, and until the end of the Easly Islamic Period. The most widespread of glass beads from the Middle East are small, monochrome, oblate, segmented beads recovered from Europe, Middle East, and Africa. These beads date from about 300 BCE to about 1200 CE and were an important staple in the Asian Maritime Trade network. (Francis 2002)",Middle Eastern glass beads,,300,has broader term (has narrower term),CE,,Primary name,,1200,'-300,CHRN-00000126,"Africa, Primary name",Asian maritime trade,, Historical Perspectives on Pastoralism and Land Tenure Transformation in Ngamiland Botswana: what are the Policy and Institutional Lessons,BCE,,1200,ae0fc47a-f603-448e-81fc-f38ec906fa6a
Ceramic,,Persian earthenware,,,has broader term (has narrower term),,,Primary name,,,,CHRN-00000129,"Africa, Primary name",Asian maritime trade,, Establishment of Botswanas National Park and Game Reserve System,,,,5ba9395a-3165-4338-8f87-a279f3449a41
Stoneware,"Unglazed, brown-painted stoneware from the Tongguan kiln sites in Hunan Province. (Zhao 2015)",Changsha stoneware,,801,has broader term (has narrower term),,,Primary name,,None,801,CHRN-00000139,"Africa, Primary name",Asian maritime trade,, Cultural Landscapes Communities and World Heritage: Pursuit of the Local in the Tsodilo Hills Botswana,CE,,None,2292ca3c-7401-4266-b74c-0ca6d2864591
Archaeological period,,Transitional Earlier Stone Age and Middle Stone Age (Eastern Africa),,,has broader term (has narrower term),,,Primary name,,,,CHRN-00000155,"Eastern Africa, Primary name",Stone Age (Eastern Africa),,,,,,113d76c9-6a7b-4bd7-94ad-bc5fbd3abb61
Archaeological period,Period at which subsistence was based on hunting and fishing; some sites show fire use and bone artefacts. Known from Sangoan assemblages (which in some cases include bifacial tools which were used in exploitation and processing of pigment minerals) and Lupemban assemblages (characterised by symmetrical lanceolate foliate tools and blades). Levallois technology is the element characterising the Middle Palaeolithic. ,Middle Palaeolithic (Sudan),,"218,000",has broader term (has narrower term),BCE,,Primary name,,"38,000",y-218000,CHRN-00000171,"Sudan, Primary name",Stone Age (Eastern Africa),, Maritime Community Settlement History in Pangani Bay Tanga Coastal Region Tanzania,BCE,,y-38000,a8a75b84-239c-44e0-b81b-3ca7bf49978e
Archaeological period,"The Middle Stone Age (MSA) is best known for innovations that appear in the archaeological record at various times after about 300,000 years ago to 20, 000 years ago, with the first appearance of Homo sapiens. These novel behaviours embrace hafting technology, the use of compound paints and adhesives, ingenious lithic technology that included pressure flaking and the heat treatment of rock, the engraving of ochre and eggshell with geometric designs, the stringing of shell beads and the production of a wide range of bone implements. Such innovations might have been linked to new types of social behaviour stimulated by demographic pulses and movements within and out of the continent. Population shifts may have occurred repeatedly during the MSA. Southern African sites seem concentrated in the interior of the subcontinent before 130 kya. Thus, the florescence of MSA innovations described here appears to have coincided with the dispersal after 130 kya of populations from the interior to mountainous areas. (Wadley 2015)",Middle Stone Age (Southern Africa),,300,has broader term (has narrower term),ka BP,,Primary name,,21,y-300000,CHRN-00000186,"Southern Africa, Primary name",Stone Age (Southern Africa),, Maea Sa m - Resource Manager,ka BP,,y-21000,fa9edeed-7b68-4a7e-bd4f-64b321a7f8ab
Archaeological period,"The Lower Palaeolithic extends from 300,000 to 75,000 BC. The sites of Karé and Sansandé (eastern Senegal) represent the most characteristic archaeological stations of its Acheulean culture. The tools are characterised by scrapers and tools on pebbles cut in microchoppers and micochopping-tools. Bifaces and axes are also tools that refer to this culture but are rare.",Lower Palaeolithic (Senegal),,300,has broader term (has narrower term),ka BP,,Primary name,,75,y-300000,CHRN-00000227,"Senegal, Primary name",Palaeolithic (Senegal),, Bakel Ville Frontière,ka BP,,y-75000,5a1e4b34-6115-44c1-a6f1-bf86b62991b2
Archaeological period,,Early Stone Age (Gambia),,,has broader term (has narrower term),,,Primary name,,,,CHRN-00000235,"Gambia, Primary name",Stone Age (Gambia),, 3. 3-million-year-old Stone Tools from Lomekwi 3 West Turkana Kenya,,,,6e66cf07-3a07-4a29-9d47-c2309065db66
Archaeological period,"The Late Stone Age (LSA) is characterised by the appearance of much smaller tools, known as microliths, often in standardized geometric forms. Elsewhere in Africa, these technologies appear around thirty kya, but in the Senegambia they do so significantly later (fifteen to ten ka), shortly before the use of ceramics and the development of agriculture. The earliest conclusive evidence of LSA technologies comes from the site of Tomboura 1 in the Falémé region, which has yielded dates going back to approximately 15 ka.",Late Stone Age (Gambia),,15000,has broader term (has narrower term),,,Primary name,,None,y-15000,CHRN-00000239,"Gambia, Primary name",Stone Age (Gambia),, 3. 3-million-year-old Stone Tools from Lomekwi 3 West Turkana Kenya,BP,,None,ce09b879-ff25-4cee-9480-ae8427b88034
Archaeological period,,Pre-ceramic Late Stone Age (Mali),,32000~,has broader term (has narrower term),BP,,Primary name,,10000~,y-32000~,CHRN-00000248,"Mali, Primary name",Stone Age (Mali),,,BP,,y-10000~,1688194c-9f91-4963-9488-a15eedcc6151
Ceramic tradition,"Pottery tradition with both pastoral and fishing adaptations. Sites are marked by fish middens, burned dung ash areas, microlithic tools and harpoon points or barbed bone spears for fishing. Pottery consists of thin-walled pots and bowls with external, closely spaced horizontal and occasionally vertical, angled-grooved decoration. Vessel rims sometimes have nicking or pinched decoration.",Turkwel,,1800,has broader term (has narrower term),BP,,Primary name,,950,1800,CHRN-00000273,"Eastern Africa, Primary name",Pastoral Neolithic (Eastern Africa),, The Palaeolithic/Stone Age,BP,,950,99b924d4-0f43-42ac-a541-a1e12f6d8ba7
Material culture,"This facies dating between 3584 and 2919 BC, includes several deposits located on the Ogolian dunes of western Senegal. Microlithics are the most characteristic material which are also associated with ceramics tempered with sand.",Dune Microlithic Neolithic,,3584,has broader term (has narrower term),BCE,,Primary name,,2919,'-3584,CHRN-00000276,"Senegal, Primary name",Neolithic (Senegal),, Late Quaternary Archaeological and Palaeoenvironmental Data from Sediments at Rhino Cave Tsodilo Hills Botswana,BCE,,'-2919,f382fac5-cf6e-4161-806b-7f80b38a1b9c
Material culture,"The Neolithic of Khant dates from 4890 BC. Its culture is named after the site of Khant, a group of several shell middens. Its material consists of lithic tools, bone, wood and ceramics decorated by impressions. The bone tools (fishing implements) constitute the most characteristic remains of this industry.",Khant Neolithic,,4890,has broader term (has narrower term),,,Primary name,,None,'-4890,CHRN-00000279,"Senegal, Primary name",Neolithic (Senegal),, Archaeology of Senegambia,BCE,,None,18967551-1f8d-4f5a-8842-e596d30495f3
Ceramic tradition,Wavy Line is an incised decoration of pottery which appeared in the Mesolithic/Epipaleolithic of Sudan. It is connected to the Early Mesolithic.,Wavy Line (Sudan),,8000,has broader term (has narrower term),BCE,,Primary name,,5000,'-8000,CHRN-00000282,"Sudan, Primary name",Mesolithic (Sudan),, Ritualized Behavior in the Middle Stone Age: Evidence from Rhino Cave. Tsodilo Hills Botswana,BCE,,'-5000,e0bb2388-a80a-443f-88a9-18c11712b0eb
Archaeological period,"An iron technology complex which employed decorated bricks for the furnace shaft, iron implements, dimple-based pottery, large open air settlements, rock shelter and cave settlements, the knowledge and use of domestication and the practice of agriculture covering some 400 000 square kilometers in the Interlacustrine area from Kivu in the West to the eastern shores of Lake Victoria in the East, from the Nile in the Chobi area of Uganda in the North to the southern shores of Lake Victoria and to Burundi in the South. Period mainly represented by pottery wares such as Urewe that were associated with farming communities. (Stewart 1993)",Early Iron Age (Eastern Africa),,2600,has broader term (has narrower term),BP,,Primary name,,1300,'-2600,CHRN-00000290,"Eastern Africa, Primary name",Iron Age (Eastern Africa),, The Archaeology of Pastoralism and Stock-keeping in East Africa,BP,,1300,b09398d2-5680-4196-bc0d-6f736f6d13fd
Archaeological period,,Late Iron Age (Eastern Africa),,1000,has broader term (has narrower term),CE,,Primary name,,1500,1000,CHRN-00000318,"Eastern Africa, Primary name",Iron Age (Eastern Africa),,,CE,,1500,48980164-90f1-4e61-bace-8ec91f88c3aa
Material culture,"The habitat sites are flattened mounds, with little relief (2-5 m high) and can be grouped or isolated. Their extremely variable extents extend over several hundred meters in length and width and are sometimes covered with shards of pottery, the remains of metallurgical activity (slag, tuyères) and various debris. The phenomenon of habitat sites extends, without interruption, from Dagana to nearly 200 km south of Bakel, in a vast space between the fossilised hydrographic network of the Ferlo in the south and the Senegal River valley in the north. Elsewhere, these sites are also found in the Sine-Saloum and in the south towards Kolda.",Iron Age settlement phase (Senegal),,250,has broader term (has narrower term),CE,,Primary name,,1700,250,CHRN-00000369,"Senegal, Primary name",Iron Age (Senegal),,,CE,,1700,e3292012-0cc1-48c6-a371-9035e1cb8d61
Material culture,The settlement sites in the Senegal River Valley date from the Iron Age (1100 BC and 1500 AD). Spatially they extend without interruption from Dagana to nearly 200 km south of Bakel in a vast area between the Ferlo fossil river system in the south and the Senegal River Valley in the north. ,Middle Valley habitat sites (Senegal),,1100,has broader term (has narrower term),CE,,Primary name,,1650,'-1100,CHRN-00000379,"Senegal, Primary name",Iron Age (Senegal),, Greater Mapungubwe Transfrontier Conservation Area Integrated Development Plan,BCE,,1650,efaca6c8-3427-4efa-8c24-c2613f1a8f12
Material culture,"The sand tumuli are funerary monuments of varying size and age. They are known as podom (in Sereer) and mbanaar (in Wolof); other smaller and apparently more recent ages are called lomb in Sereer. These monuments are spread over an area of 32,000 km², between the marigot of Minguegne in the north and the estuaries of Siin and Saloum in the south. 11,219 tumuli monuments distributed on 1896 sites have been listed in this part of the country. Between 1941 and 1942, 21 monuments including the sites of Nguiguela and Massar, near Rao, were the subject of archaeological excavations. Other excavations were conducted further south, notably in Ndalane (1971) and Kael (2012) and all confirmed the funerary function of these monuments. These excavations produced a wealth of furniture, including gold, silver and copper jewelry and multiple types of armories.",Tumulus group (Senegal),,,has broader term (has narrower term),,,Primary name,,,,CHRN-00000408,"Senegal, Primary name",Iron Age (Senegal),, The Batswana-boer War of 1852-53: how the Batswana Achieved Victory,,,,9863ec0a-d5a5-4b29-af01-6726efc07563
